Vendor;Type;Part No ;Part Name ;List Price ;Quantity
MDC Vacuum;Supplies;191000;"CopperGaskets, 1.33""Flg REF# GK-075";17;2
MDC Vacuum;Supplies;191004;"CopperGaskets, 2.75"" REF# GK-150";22;5
MDC Vacuum;Supplies;191013;"CopperGasket, 6""Flange REF# GK-400";62;2
MDC Vacuum;Supplies;191017;"CopperGasket, 8""Flange REF# GK-600";73;2
MDC Vacuum;Supplies;191019;"CopperGasket, 10""Flange REF# GK-800";125;2
MDC Vacuum;Equipment;190001;"SocketHeadScrew, .75""Lg REF# BA-075";14;2
MDC Vacuum;Equipment;190000;"SocketHeadScrew, .50""Lg, Tapped REF# BA-050";14;2
MDC Vacuum;Equipment;190069;"Plate Nut, 1.33"" Flange REF# PN-133";52;2
MDC Vacuum;Equipment;190004;"HexHeadBolt, 1.25""Lg REF# BA-150";17;2
MDC Vacuum;Equipment;190002;"HexHeadBolt, 7/8""Lg, Tapped REF# BA-085";15;2
MDC Vacuum;Equipment;190070;"Plate Nut, 2.75"" Flange REF# PN-275";54;2
MDC Vacuum;Equipment;190008;"HexHeadBolt, 2.25""Lg REF# BA-300";32;4
MDC Vacuum;Equipment;190003;"HexHeadBolts, 1.25""Lg, Tapped REF# BA-125";28;2
MDC Vacuum;Equipment;190073;"Plate Nut, 6"" Flange REF# PN-600";43;2
MDC Vacuum;Equipment;190010;"HexHeadBolt, 1.75""Lg, Tapped REF# BA-600";24;4
MDC Vacuum;Equipment;190074;"Plate Nut, 8"" Flange REF# PN-800";60;2
MDC Vacuum;Equipment;190011;"HexHeadBolt, 2.5""Lg REF# BA-800";38;2
MDC Vacuum;Supplies;192026;"Plastic Flange Cover, 6""Flange REF# FC600 (6 pack)";22;1
MDC Vacuum;Supplies;192020;"Plastic Flange Cover, 1-1/3""Flange REF# FC133 (6 pack)";10;2
MDC Vacuum;Supplies;192022;"Plastic Flange Cover, 2-3/4""Flange REF# FC275 (6 pack)";13;3
MDC Vacuum;Supplies;192007;"Plastic Flange Cover, 8""Flange REF# FC800";6;3
MDC Vacuum;Supplies;192008;"Plastic Flange Cover, 10""Flange REF# FC1000";9;3
MDC Vacuum;Supplies;192027;Plastic Flange Cover, NW16 REF# KFC075 (6 pack);9;2
MDC Vacuum;Supplies;192028;Plastic Flange Cover, NW25 REF# KFC100 (6 pack);9;2
MDC Vacuum;Supplies;192029;Plastic Flange Cover, NW40 REF# KFC150 (6 pack);9;1
MDC Vacuum;Supplies;728036;"PVCCoiledHose, 1""ID REF# PVC-100";12;20
MDC Vacuum;Equipment;72811;HOSE CLAMP,  SS-  3/4 TO 1 1/2 REF# HOSE CLAMP, SS  1;4;10
MDC Vacuum;Equipment;736002;"PVCHoseAdapter, NW25, 1""ID, Hose REF# K100-HPV";19;5
MDC Vacuum;Equipment;710001;CenteringRing, NW25, Viton, SS REF# K100-CR;10;20
MDC Vacuum;Equipment;701001;MODEL# K100-C REF# K100-C;10;20
MDC Vacuum;Equipment;712001;KFlng, NW25, Blank REF# K100-B;11;20
MDC Vacuum;Equipment;712000;KFlng, NW16, Blank REF# K075-B;10;20
MDC Vacuum;Equipment;701000;MODEL# K075-C REF# K075-C;8;20
MDC Vacuum;Equipment;710000;CenteringRing, NW16, Viton, SS REF# K075-CR;8;20
MDC Vacuum;Equipment;723000;90 deg Elbow, NW16, Radius REF# K075-2L;56;4
MDC Vacuum;Equipment;723017;90 deg Elbow, NW25, Radius REF# K100-2L;58;4
MDC Vacuum;Equipment;732006;ConicalReducer, NW25 to NW16 REF# K100XK075FCR;125;4
MDC Vacuum;Equipment;724000;Tee, NW16 REF# K075-3;71;2
MDC Vacuum;Equipment;724001;Tee, NW25 REF# K100-3;75;2
MDC Vacuum;Equipment;315010;"PrecisionValve, UHV, 2.75"" REF# ULV-150";1060;1
MDC Vacuum;Equipment;110000;"Flng, 1.33"", Blank REF# F133000";15;10
